City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
162,Pevek,RU,2022-03-06 23:43:03,69.7008,170.3133,-21.14,95,35,1.92
163,Maine-Soroa,NE,2022-03-06 23:43:04,13.2114,12.0241,85.53,9,86,6.96
164,Bereda,ES,2022-03-06 23:43:04,43.2686,-7.5406,37.15,100,38,1.86
165,Trincomalee,LK,2022-03-06 23:43:04,8.5711,81.2335,77.56,85,39,1.86
166,Mumford,GH,2022-03-06 23:43:05,5.2618,-0.759,79.52,90,20,6.42
167,Chhatapur,IN,2022-03-06 23:43:05,26.2167,87.0167,65.32,46,0,4.76
168,Nome,US,2022-03-06 23:43:05,64.5011,-165.4064,21.27,86,100,11.5
169,Tarquinia,IT,2022-03-06 23:43:06,42.2482,11.7553,39.63,67,16,8.16
170,Ribeira Grande,PT,2022-03-06 23:43:06,38.5167,-28.7,56.95,78,95,39.15
171,Fare,PF,2022-03-06 23:43:06,-16.7,-151.0167,81.21,73,36,12.21
172,Fortuna,US,2022-03-06 23:43:07,40.5982,-124.1573,63.48,71,0,13.8
173,Puerto Ayacucho,VE,2022-03-06 23:43:07,5.6639,-67.6236,89.38,50,83,13.09
174,Lobito,AO,2022-03-06 23:43:07,-12.3481,13.5456,78.21,79,99,4.92
175,Vostok,RU,2022-03-06 23:43:08,46.4856,135.8833,16.86,90,96,3.31
176,Portland,US,2022-03-06 23:42:00,45.5234,-122.6762,56.61,67,20,4.0
177,Black Diamond,US,2022-03-06 23:43:08,47.3087,-122.0032,52.83,68,26,3.0
178,Sterling,US,2022-03-06 23:38:20,39.0062,-77.4286,75.06,60,100,9.22
179,Cesis,LV,2022-03-06 23:43:09,57.3119,25.2746,31.73,97,48,7.61
180,Polunochnoye,RU,2022-03-06 23:43:09,60.8697,60.4153,-9.94,95,100,9.64
181,Hanzhong,CN,2022-03-06 23:44:09,33.0728,107.0303,45.57,82,0,2.37
182,Pyatnitskoye,RU,2022-03-06 23:44:10,50.4233,37.8273,16.93,93,17,5.48
183,Whitehorse,CA,2022-03-06 23:44:10,60.7161,-135.0538,35.1,54,100,16.11
184,Livingstonia,MW,2022-03-06 23:44:10,-10.606,34.1063,64.58,90,100,1.99
185,Namibe,AO,2022-03-06 23:44:11,-15.1961,12.1522,70.74,71,91,7.81
186,Umm Lajj,SA,2022-03-06 23:44:11,25.0213,37.2685,74.77,59,12,8.88
187,Sawtell,AU,2022-03-06 23:44:11,-30.3833,153.1,68.32,94,100,9.22
188,Sao Joao Da Barra,BR,2022-03-06 23:44:12,-21.6403,-41.0511,77.68,85,1,12.44
189,Catamarca,AR,2022-03-06 23:44:12,-28.4696,-65.7852,77.77,70,33,5.01
190,Kibala,TD,2022-03-06 23:44:12,9.1104,18.3463,80.55,50,0,0.0
191,Pisco,PE,2022-03-06 23:44:13,-13.7,-76.2167,73.45,83,75,5.75
192,Vallenar,CL,2022-03-06 23:44:13,-28.5708,-70.7581,75.38,46,0,3.29
193,Bang Saphan,TH,2022-03-06 23:44:13,11.2126,99.5117,76.95,91,15,2.39
194,Qaanaaq,GL,2022-03-06 23:44:14,77.484,-69.3632,1.87,57,0,5.84
195,Chipinge,ZW,2022-03-06 23:44:14,-20.1883,32.6236,63.37,98,27,5.28
196,Banon,ES,2022-03-06 23:44:14,40.8382,-1.1909,42.06,93,75,6.91
197,Yelizovo,RU,2022-03-06 23:44:15,53.1873,158.3805,24.94,73,75,4.0
198,Takoradi,GH,2022-03-06 23:44:15,4.8845,-1.7554,79.75,87,3,5.5
199,Boyany,UA,2022-03-06 23:44:16,48.2708,26.1262,34.93,83,29,0.29
200,Roald,NO,2022-03-06 23:44:16,62.5833,6.1333,42.94,75,100,19.57
201,Oktyabrskoye,RU,2022-03-06 23:44:16,43.0645,44.7417,21.34,92,27,6.71
202,Tura,IN,2022-03-06 23:44:16,25.5198,90.2201,63.18,39,0,4.07
203,Itarema,BR,2022-03-06 23:44:17,-2.9248,-39.9167,77.47,87,84,8.37
204,Kavieng,PG,2022-03-06 23:44:17,-2.5744,150.7967,80.67,76,98,1.52
205,Komsomolskiy,UZ,2022-03-06 23:44:17,40.4272,71.7189,47.12,76,75,25.32
206,Bubaque,GW,2022-03-06 23:44:18,11.2833,-15.8333,75.85,70,67,18.1
207,Srednekolymsk,RU,2022-03-06 23:44:18,67.45,153.6833,-21.77,97,95,6.62
208,Vanavara,RU,2022-03-06 23:44:18,60.34,102.2797,-1.95,97,100,4.47
209,Olafsvik,IS,2022-03-06 23:44:19,64.8945,-23.7142,34.77,64,94,23.69
210,Kieta,PG,2022-03-06 23:44:19,-6.2167,155.6333,86.59,66,91,5.14
211,Hofn,IS,2022-03-06 23:44:19,64.2539,-15.2082,33.19,54,50,5.61
212,Geraldton,AU,2022-03-06 23:44:20,-28.7667,114.6,77.41,31,74,10.36
213,Port-Gentil,GA,2022-03-06 23:44:20,-0.7193,8.7815,80.56,89,20,5.75
214,Te Anau,NZ,2022-03-06 23:44:21,-45.4167,167.7167,49.62,97,100,1.74
215,Garachine,PA,2022-03-06 23:44:21,8.0647,-78.3628,78.51,84,80,2.91
216,Atikokan,CA,2022-03-06 23:44:22,48.7555,-91.6216,25.0,93,100,5.97
217,Kahului,US,2022-03-06 23:44:22,20.8947,-156.47,85.26,39,0,12.66
218,Naqadeh,IR,2022-03-06 23:44:23,36.9553,45.388,38.14,75,100,4.43
219,Bafoulabe,ML,2022-03-06 23:44:23,13.8065,-10.8321,82.69,14,43,5.88
220,Margate,GB,2022-03-06 23:44:23,51.3813,1.3862,42.91,66,24,5.99
221,Upernavik,GL,2022-03-06 23:44:24,72.7868,-56.1549,7.95,91,100,4.65
222,Saint-Georges,GD,2022-03-06 23:44:24,12.0564,-61.7485,78.48,78,20,9.22
223,Marzuq,YE,2022-03-06 23:44:24,14.4,46.4667,61.34,41,91,3.24
224,Scarborough,GB,2022-03-06 23:42:31,54.2797,-0.4044,37.9,88,12,1.34
